=== 系统信息 ===
Tue 03 Jun 2025 10:11:29 AM CST
DCU 设备信息:

============================ System Management Interface =============================
======================================================================================
DCU     Temp     AvgPwr     Perf     PwrCap     VRAM%      DCU%      Mode     
0       50.0C    24.0W      auto     300.0W     0%         0%        N/A      
======================================================================================
=================================== End of SMI Log ===================================


=== 运行DCU加速的MLP训练和推理测试 ===
=== 基于DCU的MLP低轨卫星带宽预测系统 ===
加载了 3394 个带宽数据点
数据归一化完成, 范围: [8.75, 406.41]
创建了 3384 个训练样本
训练集大小: 2707, 测试集大小: 677

=== 开始训练 ===
Epoch 1/10000, 平均损失: 0.0971292, 最佳损失: 0.0971292, Patience: 0
Epoch 2/10000, 平均损失: 0.0970944, 最佳损失: 0.0970944, Patience: 0
Epoch 3/10000, 平均损失: 0.0970596, 最佳损失: 0.0970596, Patience: 0
Epoch 4/10000, 平均损失: 0.0970248, 最佳损失: 0.0970248, Patience: 0
Epoch 5/10000, 平均损失: 0.0969901, 最佳损失: 0.0969901, Patience: 0
Epoch 6/10000, 平均损失: 0.0969553, 最佳损失: 0.0969553, Patience: 0
Epoch 7/10000, 平均损失: 0.0969206, 最佳损失: 0.0969206, Patience: 0
Epoch 8/10000, 平均损失: 0.0968858, 最佳损失: 0.0968858, Patience: 0
Epoch 9/10000, 平均损失: 0.0968511, 最佳损失: 0.0968511, Patience: 0
Epoch 10/10000, 平均损失: 0.0968164, 最佳损失: 0.0968164, Patience: 0
Epoch 11/10000, 平均损失: 0.0967817, 最佳损失: 0.0967817, Patience: 0
Epoch 12/10000, 平均损失: 0.0967471, 最佳损失: 0.0967471, Patience: 0
Epoch 13/10000, 平均损失: 0.0967124, 最佳损失: 0.0967124, Patience: 0
Epoch 14/10000, 平均损失: 0.0966778, 最佳损失: 0.0966778, Patience: 0
Epoch 15/10000, 平均损失: 0.0966432, 最佳损失: 0.0966432, Patience: 0
Epoch 16/10000, 平均损失: 0.0966086, 最佳损失: 0.0966086, Patience: 0
Epoch 17/10000, 平均损失: 0.096574, 最佳损失: 0.096574, Patience: 0
Epoch 18/10000, 平均损失: 0.0965394, 最佳损失: 0.0965394, Patience: 0
Epoch 19/10000, 平均损失: 0.0965049, 最佳损失: 0.0965049, Patience: 0
Epoch 20/10000, 平均损失: 0.0964703, 最佳损失: 0.0964703, Patience: 0
Epoch 30/10000, 平均损失: 0.0961258, 最佳损失: 0.0961258, Patience: 0
Epoch 40/10000, 平均损失: 0.0957827, 最佳损失: 0.0957827, Patience: 0
Epoch 50/10000, 平均损失: 0.0954412, 最佳损失: 0.0954412, Patience: 0
Epoch 60/10000, 平均损失: 0.0951013, 最佳损失: 0.0951013, Patience: 0
Epoch 70/10000, 平均损失: 0.0947628, 最佳损失: 0.0947628, Patience: 0
Epoch 80/10000, 平均损失: 0.0944258, 最佳损失: 0.0944258, Patience: 0
Epoch 90/10000, 平均损失: 0.0940904, 最佳损失: 0.0940904, Patience: 0
Epoch 100/10000, 平均损失: 0.0937564, 最佳损失: 0.0937564, Patience: 0
Epoch 110/10000, 平均损失: 0.0934239, 最佳损失: 0.0934239, Patience: 0
Epoch 120/10000, 平均损失: 0.0930929, 最佳损失: 0.0930929, Patience: 0
Epoch 130/10000, 平均损失: 0.0927634, 最佳损失: 0.0927634, Patience: 0
Epoch 140/10000, 平均损失: 0.0924353, 最佳损失: 0.0924353, Patience: 0
Epoch 150/10000, 平均损失: 0.0921087, 最佳损失: 0.0921087, Patience: 0
Epoch 160/10000, 平均损失: 0.0917836, 最佳损失: 0.0917836, Patience: 0
Epoch 170/10000, 平均损失: 0.0914599, 最佳损失: 0.0914599, Patience: 0
Epoch 180/10000, 平均损失: 0.0911376, 最佳损失: 0.0911376, Patience: 0
Epoch 190/10000, 平均损失: 0.0908168, 最佳损失: 0.0908168, Patience: 0
Epoch 200/10000, 平均损失: 0.0904974, 最佳损失: 0.0904974, Patience: 0
Epoch 210/10000, 平均损失: 0.0901794, 最佳损失: 0.0901794, Patience: 0
Epoch 220/10000, 平均损失: 0.0898628, 最佳损失: 0.0898628, Patience: 0
Epoch 230/10000, 平均损失: 0.0895476, 最佳损失: 0.0895476, Patience: 0
Epoch 240/10000, 平均损失: 0.0892338, 最佳损失: 0.0892338, Patience: 0
Epoch 250/10000, 平均损失: 0.0889215, 最佳损失: 0.0889215, Patience: 0
Epoch 260/10000, 平均损失: 0.0886105, 最佳损失: 0.0886105, Patience: 0
Epoch 270/10000, 平均损失: 0.0883009, 最佳损失: 0.0883009, Patience: 0
Epoch 280/10000, 平均损失: 0.0879926, 最佳损失: 0.0879926, Patience: 0
Epoch 290/10000, 平均损失: 0.0876858, 最佳损失: 0.0876858, Patience: 0
Epoch 300/10000, 平均损失: 0.0873803, 最佳损失: 0.0873803, Patience: 0
Epoch 310/10000, 平均损失: 0.0870761, 最佳损失: 0.0870761, Patience: 0
Epoch 320/10000, 平均损失: 0.0867733, 最佳损失: 0.0867733, Patience: 0
Epoch 330/10000, 平均损失: 0.0864719, 最佳损失: 0.0864719, Patience: 0
Epoch 340/10000, 平均损失: 0.0861717, 最佳损失: 0.0861717, Patience: 0
Epoch 350/10000, 平均损失: 0.085873, 最佳损失: 0.085873, Patience: 0
Epoch 360/10000, 平均损失: 0.0855755, 最佳损失: 0.0855755, Patience: 0
Epoch 370/10000, 平均损失: 0.0852794, 最佳损失: 0.0852794, Patience: 0
Epoch 380/10000, 平均损失: 0.0849846, 最佳损失: 0.0849846, Patience: 0
Epoch 390/10000, 平均损失: 0.084691, 最佳损失: 0.084691, Patience: 0
Epoch 400/10000, 平均损失: 0.0843988, 最佳损失: 0.0843988, Patience: 0
Epoch 410/10000, 平均损失: 0.0841079, 最佳损失: 0.0841079, Patience: 0
Epoch 420/10000, 平均损失: 0.0838183, 最佳损失: 0.0838183, Patience: 0
Epoch 430/10000, 平均损失: 0.08353, 最佳损失: 0.08353, Patience: 0
Epoch 440/10000, 平均损失: 0.0832429, 最佳损失: 0.0832429, Patience: 0
Epoch 450/10000, 平均损失: 0.0829571, 最佳损失: 0.0829571, Patience: 0
Epoch 460/10000, 平均损失: 0.0826726, 最佳损失: 0.0826726, Patience: 0
Epoch 470/10000, 平均损失: 0.0823893, 最佳损失: 0.0823893, Patience: 0
Epoch 480/10000, 平均损失: 0.0821073, 最佳损失: 0.0821073, Patience: 0
Epoch 490/10000, 平均损失: 0.0818266, 最佳损失: 0.0818266, Patience: 0
Epoch 500/10000, 平均损失: 0.0815471, 最佳损失: 0.0815471, Patience: 0
Epoch 510/10000, 平均损失: 0.0812688, 最佳损失: 0.0812688, Patience: 0
Epoch 520/10000, 平均损失: 0.0809918, 最佳损失: 0.0809918, Patience: 0
Epoch 530/10000, 平均损失: 0.0807159, 最佳损失: 0.0807159, Patience: 0
Epoch 540/10000, 平均损失: 0.0804414, 最佳损失: 0.0804414, Patience: 0
Epoch 550/10000, 平均损失: 0.080168, 最佳损失: 0.080168, Patience: 0
Epoch 560/10000, 平均损失: 0.0798958, 最佳损失: 0.0798958, Patience: 0
Epoch 570/10000, 平均损失: 0.0796249, 最佳损失: 0.0796249, Patience: 0
Epoch 580/10000, 平均损失: 0.0793551, 最佳损失: 0.0793551, Patience: 0
Epoch 590/10000, 平均损失: 0.0790865, 最佳损失: 0.0790865, Patience: 0
Epoch 600/10000, 平均损失: 0.0788192, 最佳损失: 0.0788192, Patience: 0
Epoch 610/10000, 平均损失: 0.078553, 最佳损失: 0.078553, Patience: 0
Epoch 620/10000, 平均损失: 0.078288, 最佳损失: 0.078288, Patience: 0
Epoch 630/10000, 平均损失: 0.0780241, 最佳损失: 0.0780241, Patience: 0
Epoch 640/10000, 平均损失: 0.0777615, 最佳损失: 0.0777615, Patience: 0
Epoch 650/10000, 平均损失: 0.0775, 最佳损失: 0.0775, Patience: 0
Epoch 660/10000, 平均损失: 0.0772396, 最佳损失: 0.0772396, Patience: 0
Epoch 670/10000, 平均损失: 0.0769804, 最佳损失: 0.0769804, Patience: 0
Epoch 680/10000, 平均损失: 0.0767224, 最佳损失: 0.0767224, Patience: 0
Epoch 690/10000, 平均损失: 0.0764655, 最佳损失: 0.0764655, Patience: 0
Epoch 700/10000, 平均损失: 0.0762097, 最佳损失: 0.0762097, Patience: 0
Epoch 710/10000, 平均损失: 0.0759551, 最佳损失: 0.0759551, Patience: 0
Epoch 720/10000, 平均损失: 0.0757015, 最佳损失: 0.0757015, Patience: 0
Epoch 730/10000, 平均损失: 0.0754492, 最佳损失: 0.0754492, Patience: 0
Epoch 740/10000, 平均损失: 0.0751979, 最佳损失: 0.0751979, Patience: 0
Epoch 750/10000, 平均损失: 0.0749477, 最佳损失: 0.0749477, Patience: 0
Epoch 760/10000, 平均损失: 0.0746987, 最佳损失: 0.0746987, Patience: 0
Epoch 770/10000, 平均损失: 0.0744507, 最佳损失: 0.0744507, Patience: 0
Epoch 780/10000, 平均损失: 0.0742039, 最佳损失: 0.0742039, Patience: 0
Epoch 790/10000, 平均损失: 0.0739581, 最佳损失: 0.0739581, Patience: 0
Epoch 800/10000, 平均损失: 0.0737134, 最佳损失: 0.0737134, Patience: 0
Epoch 810/10000, 平均损失: 0.0734698, 最佳损失: 0.0734698, Patience: 0
Epoch 820/10000, 平均损失: 0.0732273, 最佳损失: 0.0732273, Patience: 0
Epoch 830/10000, 平均损失: 0.0729858, 最佳损失: 0.0729858, Patience: 0
Epoch 840/10000, 平均损失: 0.0727454, 最佳损失: 0.0727454, Patience: 0
Epoch 850/10000, 平均损失: 0.0725061, 最佳损失: 0.0725061, Patience: 0
Epoch 860/10000, 平均损失: 0.0722679, 最佳损失: 0.0722679, Patience: 0
Epoch 870/10000, 平均损失: 0.0720307, 最佳损失: 0.0720307, Patience: 0
Epoch 880/10000, 平均损失: 0.0717945, 最佳损失: 0.0717945, Patience: 0
Epoch 890/10000, 平均损失: 0.0715594, 最佳损失: 0.0715594, Patience: 0
Epoch 900/10000, 平均损失: 0.0713253, 最佳损失: 0.0713253, Patience: 0
Epoch 910/10000, 平均损失: 0.0710922, 最佳损失: 0.0710922, Patience: 0
Epoch 920/10000, 平均损失: 0.0708602, 最佳损失: 0.0708602, Patience: 0
Epoch 930/10000, 平均损失: 0.0706292, 最佳损失: 0.0706292, Patience: 0
Epoch 940/10000, 平均损失: 0.0703993, 最佳损失: 0.0703993, Patience: 0
Epoch 950/10000, 平均损失: 0.0701703, 最佳损失: 0.0701703, Patience: 0
Epoch 960/10000, 平均损失: 0.0699424, 最佳损失: 0.0699424, Patience: 0
Epoch 970/10000, 平均损失: 0.0697154, 最佳损失: 0.0697154, Patience: 0
Epoch 980/10000, 平均损失: 0.0694895, 最佳损失: 0.0694895, Patience: 0
Epoch 990/10000, 平均损失: 0.0692645, 最佳损失: 0.0692645, Patience: 0
Epoch 1000/10000, 平均损失: 0.0690406, 最佳损失: 0.0690406, Patience: 0
Epoch 1010/10000, 平均损失: 0.0688176, 最佳损失: 0.0688176, Patience: 0
Epoch 1020/10000, 平均损失: 0.0685956, 最佳损失: 0.0685956, Patience: 0
Epoch 1030/10000, 平均损失: 0.0683746, 最佳损失: 0.0683746, Patience: 0
Epoch 1040/10000, 平均损失: 0.0681546, 最佳损失: 0.0681546, Patience: 0
Epoch 1050/10000, 平均损失: 0.0679356, 最佳损失: 0.0679356, Patience: 0
Epoch 1060/10000, 平均损失: 0.0677175, 最佳损失: 0.0677175, Patience: 0
Epoch 1070/10000, 平均损失: 0.0675004, 最佳损失: 0.0675004, Patience: 0
Epoch 1080/10000, 平均损失: 0.0672842, 最佳损失: 0.0672842, Patience: 0
Epoch 1090/10000, 平均损失: 0.067069, 最佳损失: 0.067069, Patience: 0
Epoch 1100/10000, 平均损失: 0.0668547, 最佳损失: 0.0668547, Patience: 0
Epoch 1110/10000, 平均损失: 0.0666414, 最佳损失: 0.0666414, Patience: 0
Epoch 1120/10000, 平均损失: 0.066429, 最佳损失: 0.066429, Patience: 0
Epoch 1130/10000, 平均损失: 0.0662176, 最佳损失: 0.0662176, Patience: 0
Epoch 1140/10000, 平均损失: 0.0660071, 最佳损失: 0.0660071, Patience: 0
Epoch 1150/10000, 平均损失: 0.0657975, 最佳损失: 0.0657975, Patience: 0
Epoch 1160/10000, 平均损失: 0.0655888, 最佳损失: 0.0655888, Patience: 0
Epoch 1170/10000, 平均损失: 0.0653811, 最佳损失: 0.0653811, Patience: 0
Epoch 1180/10000, 平均损失: 0.0651743, 最佳损失: 0.0651743, Patience: 0
Epoch 1190/10000, 平均损失: 0.0649683, 最佳损失: 0.0649683, Patience: 0
Epoch 1200/10000, 平均损失: 0.0647633, 最佳损失: 0.0647633, Patience: 0
Epoch 1210/10000, 平均损失: 0.0645592, 最佳损失: 0.0645592, Patience: 0
Epoch 1220/10000, 平均损失: 0.064356, 最佳损失: 0.064356, Patience: 0
Epoch 1230/10000, 平均损失: 0.0641537, 最佳损失: 0.0641537, Patience: 0
Epoch 1240/10000, 平均损失: 0.0639523, 最佳损失: 0.0639523, Patience: 0
Epoch 1250/10000, 平均损失: 0.0637518, 最佳损失: 0.0637518, Patience: 0
Epoch 1260/10000, 平均损失: 0.0635521, 最佳损失: 0.0635521, Patience: 0
Epoch 1270/10000, 平均损失: 0.0633534, 最佳损失: 0.0633534, Patience: 0
Epoch 1280/10000, 平均损失: 0.0631555, 最佳损失: 0.0631555, Patience: 0
Epoch 1290/10000, 平均损失: 0.0629584, 最佳损失: 0.0629584, Patience: 0
Epoch 1300/10000, 平均损失: 0.0627623, 最佳损失: 0.0627623, Patience: 0
Epoch 1310/10000, 平均损失: 0.062567, 最佳损失: 0.062567, Patience: 0
Epoch 1320/10000, 平均损失: 0.0623726, 最佳损失: 0.0623726, Patience: 0
Epoch 1330/10000, 平均损失: 0.062179, 最佳损失: 0.062179, Patience: 0
Epoch 1340/10000, 平均损失: 0.0619863, 最佳损失: 0.0619863, Patience: 0
Epoch 1350/10000, 平均损失: 0.0617944, 最佳损失: 0.0617944, Patience: 0
Epoch 1360/10000, 平均损失: 0.0616034, 最佳损失: 0.0616034, Patience: 0
Epoch 1370/10000, 平均损失: 0.0614132, 最佳损失: 0.0614132, Patience: 0
Epoch 1380/10000, 平均损失: 0.0612238, 最佳损失: 0.0612238, Patience: 0
Epoch 1390/10000, 平均损失: 0.0610353, 最佳损失: 0.0610353, Patience: 0
Epoch 1400/10000, 平均损失: 0.0608476, 最佳损失: 0.0608476, Patience: 0
Epoch 1410/10000, 平均损失: 0.0606607, 最佳损失: 0.0606607, Patience: 0
Epoch 1420/10000, 平均损失: 0.0604747, 最佳损失: 0.0604747, Patience: 0
Epoch 1430/10000, 平均损失: 0.0602895, 最佳损失: 0.0602895, Patience: 0
Epoch 1440/10000, 平均损失: 0.0601051, 最佳损失: 0.0601051, Patience: 0
Epoch 1450/10000, 平均损失: 0.0599215, 最佳损失: 0.0599215, Patience: 0
Epoch 1460/10000, 平均损失: 0.0597387, 最佳损失: 0.0597387, Patience: 0
Epoch 1470/10000, 平均损失: 0.0595567, 最佳损失: 0.0595567, Patience: 0
Epoch 1480/10000, 平均损失: 0.0593755, 最佳损失: 0.0593755, Patience: 0
Epoch 1490/10000, 平均损失: 0.0591951, 最佳损失: 0.0591951, Patience: 0
Epoch 1500/10000, 平均损失: 0.0590155, 最佳损失: 0.0590155, Patience: 0
Epoch 1510/10000, 平均损失: 0.0588367, 最佳损失: 0.0588367, Patience: 0
Epoch 1520/10000, 平均损失: 0.0586586, 最佳损失: 0.0586586, Patience: 0
Epoch 1530/10000, 平均损失: 0.0584814, 最佳损失: 0.0584814, Patience: 0
Epoch 1540/10000, 平均损失: 0.0583049, 最佳损失: 0.0583049, Patience: 0
Epoch 1550/10000, 平均损失: 0.0581292, 最佳损失: 0.0581292, Patience: 0
Epoch 1560/10000, 平均损失: 0.0579543, 最佳损失: 0.0579543, Patience: 0
Epoch 1570/10000, 平均损失: 0.0577802, 最佳损失: 0.0577802, Patience: 0
Epoch 1580/10000, 平均损失: 0.0576068, 最佳损失: 0.0576068, Patience: 0
Epoch 1590/10000, 平均损失: 0.0574342, 最佳损失: 0.0574342, Patience: 0
Epoch 1600/10000, 平均损失: 0.0572623, 最佳损失: 0.0572623, Patience: 0
Epoch 1610/10000, 平均损失: 0.0570912, 最佳损失: 0.0570912, Patience: 0
Epoch 1620/10000, 平均损失: 0.0569208, 最佳损失: 0.0569208, Patience: 0
Epoch 1630/10000, 平均损失: 0.0567512, 最佳损失: 0.0567512, Patience: 0
Epoch 1640/10000, 平均损失: 0.0565823, 最佳损失: 0.0565823, Patience: 0
Epoch 1650/10000, 平均损失: 0.0564142, 最佳损失: 0.0564142, Patience: 0
Epoch 1660/10000, 平均损失: 0.0562468, 最佳损失: 0.0562468, Patience: 0
Epoch 1670/10000, 平均损失: 0.0560802, 最佳损失: 0.0560802, Patience: 0
Epoch 1680/10000, 平均损失: 0.0559143, 最佳损失: 0.0559143, Patience: 0
Epoch 1690/10000, 平均损失: 0.0557491, 最佳损失: 0.0557491, Patience: 0
